shangpai_date,url,price,title,address,price_new,xingshi
2012-07,https://www.guazi.com/wh/21050b741282310ax.htm,¥5.00            ,MG5 2012款 1.5L 自动豪华版,武汉,"
                            新车指导价12.30万(含税)
                    ",4.8万公里
2013-09,https://www.guazi.com/wh/ea65f8ef335e2f35x.htm,¥9.50            ,福特蒙迪欧-致胜 2011款 2.0L GTDi200时尚型,武汉,"
                            新车指导价21.70万(含税)
                    ",5.1万公里
2016-08,https://www.guazi.com/wh/705f2cb628d16dd9x.htm,¥6.28            ,江淮瑞风M3 2016款 宜家版 1.6L 豪华智能型,武汉,"
                            新车指导价8.60万(含税)
                    ",2.2万公里
2014-10,https://www.guazi.com/wh/881f3c2b4b9eeb93x.htm,¥5.80            ,吉利帝豪 2014款 两厢 1.3T CVT尊贵型,武汉,"
                            新车指导价10.90万(含税)
                    ",7.86万公里
2015-07,https://www.guazi.com/wh/1b7682e50f989b5ex.htm,¥5.20            ,雪佛兰赛欧 2015款 赛欧3 1.3L AMT理想版,武汉,"
                            新车指导价7.50万(含税)
                    ",0.47万公里
2014-07,https://www.guazi.com/wh/b5ef4d8133ef60e3x.htm,¥6.65            ,长安CS75 2014款 2.0L 手动豪华型 国V,武汉,"
                            新车指导价12.90万(含税)
                    ",7.59万公里
2015-03,https://www.guazi.com/wh/55faf70d9a408485x.htm,¥4.50            ,长安悦翔V7 2015款 1.6L 手动乐享型 国IV,武汉,"
                            新车指导价7.60万(含税)
                    ",3.26万公里
2013-09,https://www.guazi.com/wh/59905bc9a2717833x.htm,¥6.68            ,标致408 2013款 2.0L 自动舒适版,武汉,"
                            新车指导价15.60万(含税)
                    ",2.79万公里
2010-09,https://www.guazi.com/wh/a9c86ebcc72758a7x.htm,¥6.70            ,雪铁龙C5 2010款 2.3L 自动尊雅型,武汉,"
                            新车指导价21.70万(含税)
                    ",9.2万公里
2015-04,https://www.guazi.com/wh/6daba1dfcf6b869fx.htm,¥8.50            ,斯柯达明锐 2015款 1.6L 自动逸杰版,武汉,"
                            新车指导价15.40万(含税)
                    ",3万公里
2014-04,https://www.guazi.com/wh/146d1f4ec87d7a6ax.htm,¥1.80            ,五菱荣光 2014款 1.2L S 基本型,武汉,"
                            新车指导价4.80万(含税)
                    ",14.4万公里
2014-01,https://www.guazi.com/wh/8967eb07985caa3fx.htm,¥9.50            ,起亚佳乐 2013款 2.0L 5座自动标准版 国V(进口),武汉,"
                            新车指导价17.50万(含税)
                    ",5.06万公里
2015-08,https://www.guazi.com/wh/130ecf2b7b498a77x.htm,¥4.50            ,雪铁龙爱丽舍 2014款 1.6L 手动时尚型,武汉,"
                            新车指导价9.10万(含税)
                    ",4.45万公里
2011-12,https://www.guazi.com/wh/25c46ddebfc02d88x.htm,¥4.10            ,福特福克斯 2011款 两厢 1.8L 手动舒适型,武汉,"
                            新车指导价12.50万(含税)
                    ",8.01万公里
2014-07,https://www.guazi.com/wh/25c4844dd2ffed18x.htm,¥6.70            ,雪佛兰科鲁兹 2013款 1.8L SE AT,武汉,"
                            新车指导价14.90万(含税)
                    ",12.02万公里
2013-01,https://www.guazi.com/wh/f55c172aad8240b7x.htm,¥7.50            ,现代朗动 2012款 1.6L 自动尊贵型,武汉,"
                            新车指导价14.40万(含税)
                    ",6.72万公里
2015-11,https://www.guazi.com/wh/af3206d356939b0dx.htm,¥6.80            ,大众捷达 2015款 1.6L 自动舒适型,武汉,"
                            新车指导价11.80万(含税)
                    ",3.2万公里
2012-03,https://www.guazi.com/wh/0cdda3819132e64ax.htm,¥2.60            ,中华骏捷FRV 2010款 1.3L 手动豪华型,武汉,"
                            新车指导价7.10万(含税)
                    ",4.14万公里
2015-01,https://www.guazi.com/wh/37f086676a6c471bx.htm,¥6.20            ,丰田威驰 2014款 1.5L 自动智臻版,武汉,"
                            新车指导价9.50万(含税)
                    ",6.5万公里
2014-06,https://www.guazi.com/wh/90e8011b4c07c291x.htm,¥11.80            ,起亚佳乐 2.0L 5座自动标准版,武汉,"
                    ",9.36万公里
2013-08,https://www.guazi.com/wh/ac984cff02eb974cx.htm,¥10.00            ,起亚K5 2012款 2.0L 自动DLX,武汉,"
                            新车指导价20.50万(含税)
                    ",6.9万公里
2011-09,https://www.guazi.com/wh/21dc011da4831e85x.htm,¥6.58            ,大众速腾 2011款 1.4TSI 手动豪华型,武汉,"
                            新车指导价16.90万(含税)
                    ",6.02万公里
2014-12,https://www.guazi.com/wh/34b436e73aefaca6x.htm,¥6.90            ,标致308 2014款 乐享版 经典 1.6L 自动风尚型,武汉,"
                            新车指导价13.40万(含税)
                    ",1.83万公里
2015-06,https://www.guazi.com/wh/54c776197845d1b6x.htm,¥6.28            ,丰田YARiS L 致炫 2015款 1.5G 手动炫动天窗特别版,武汉,"
                            新车指导价9.50万(含税)
                    ",1.7万公里
